64 14.623 19.9787 36.6245 0.753224 0.930196 23.4953
128 17.8307 22.9938 28.9567 0.856044 0.957394 11.8393
192 19.5377 24.5995 25.9076 0.89338 0.967001 8.24066
256 20.7022 25.7578 24.4203 0.912874 0.972113 6.48938
320 21.5813 26.5769 23.1483 0.925521 0.974916 5.3369
384 22.2582 27.2058 22.2282 0.934014 0.976948 4.59667
448 22.8268 27.7208 21.4394 0.940469 0.978577 4.05202
512 23.2872 28.0975 20.6564 0.945468 0.979622 3.61239
576 23.6728 28.3988 19.9638 0.949123 0.98027 3.28164
640 24.0134 28.662 19.3586 0.952198 0.981032 3.02814
704 24.3298 28.8955 18.7656 0.954713 0.981318 2.78665
768 24.6087 29.0967 18.2374 0.956849 0.981764 2.60385
832 24.8553 29.2794 17.7994 0.958753 0.982185 2.44395
896 25.0822 29.4295 17.3319 0.960422 0.98251 2.29981
960 25.3001 29.5663 16.862 0.961994 0.982726 2.1551
1024 25.4942 29.6876 16.4485 0.963132 0.982583 2.01956
