64 7.00303 6.99407 -0.128001 0.124689 0.121473 -2.57943
128 7.0013 6.98686 -0.206268 0.124527 0.121008 -2.82545
192 7.00115 6.98533 -0.225908 0.124601 0.121056 -2.84438
256 7.00134 6.98497 -0.233823 0.124645 0.121117 -2.83056
320 7.00119 6.98477 -0.234568 0.124678 0.121169 -2.8146
384 7.00078 6.98438 -0.234282 0.124639 0.121163 -2.78887
448 6.99997 6.98357 -0.234276 0.124557 0.121094 -2.78018
512 6.99925 6.98304 -0.231677 0.124488 0.12104 -2.76948
576 6.99906 6.98285 -0.231636 0.12447 0.121038 -2.7575
640 6.99892 6.98287 -0.229317 0.124463 0.121048 -2.74345
704 6.99887 6.98287 -0.228703 0.124458 0.121047 -2.74041
768 6.99882 6.9828 -0.228864 0.124446 0.121044 -2.73381
832 6.99858 6.98256 -0.228858 0.124425 0.121027 -2.73094
896 6.99835 6.9825 -0.226545 0.124408 0.121019 -2.72421
960 6.99829 6.98252 -0.225437 0.124398 0.121012 -2.72172
1024 6.9983 6.98263 -0.223953 0.124406 0.121027 -2.7165
