64 25.5721 30.8244 20.5395 0.977577 0.991034 1.37661
128 27.7605 31.6133 13.8789 0.984272 0.991654 0.749958
192 28.9862 31.8714 9.95352 0.986834 0.991885 0.511777
256 29.8598 32.0304 7.26953 0.988473 0.992056 0.36242
320 30.5097 32.1275 5.30237 0.989283 0.992168 0.291598
384 31.0115 32.1931 3.81045 0.989932 0.992216 0.230682
448 31.4228 32.2499 2.63221 0.99038 0.992264 0.190163
512 31.7472 32.2868 1.6997 0.990813 0.992298 0.149953
576 32.0258 32.3162 0.906825 0.991021 0.992303 0.129306
640 32.257 32.3346 0.240517 0.991365 0.992314 0.0956774
704 32.4544 32.3523 -0.314552 0.991597 0.992402 0.0811219
768 32.6326 32.3683 -0.809896 0.991793 0.992349 0.0560164
832 32.7857 32.3792 -1.24005 0.992017 0.992395 0.0380516
896 32.9294 32.394 -1.62589 0.992118 0.992378 0.0262022
960 33.0572 32.4035 -1.97757 0.992214 0.992424 0.0210881
1024 33.1706 32.4113 -2.28906 0.992353 0.992397 0.00448227
