64 37.5638 46.0614 22.6219 0.993817 0.997083 0.328672
128 40.6665 46.2407 13.7071 0.995815 0.997136 0.132668
192 42.8138 46.3264 8.20444 0.996585 0.997147 0.0563264
256 44.2592 46.3851 4.80344 0.99697 0.997168 0.0199199
320 45.2026 46.4421 2.74209 0.997233 0.997185 -0.00473857
384 45.8993 46.4797 1.26442 0.997325 0.997203 -0.0122249
448 46.5443 46.5138 -0.0653923 0.997436 0.997202 -0.0234008
512 47.1004 46.5255 -1.22061 0.997531 0.997196 -0.0335217
576 47.5232 46.5237 -2.10315 0.997616 0.997168 -0.0448823
640 47.8648 46.522 -2.80545 0.997657 0.997135 -0.0522912
704 48.2214 46.5227 -3.52283 0.997685 0.997114 -0.0572026
768 48.534 46.5168 -4.15631 0.997756 0.997102 -0.0655234
832 48.7618 46.514 -4.60992 0.997804 0.997086 -0.071913
896 48.9612 46.5139 -4.99833 0.997858 0.997085 -0.0775099
960 49.1781 46.5208 -5.40345 0.997893 0.997087 -0.0808299
1024 49.3808 46.525 -5.78318 0.997942 0.99709 -0.0854075
