64 25.7705 35.9032 39.3186 0.964678 0.994205 3.06077
128 28.1299 38.1773 35.7179 0.976358 0.995565 1.96723
192 29.6081 38.7548 30.8926 0.981479 0.995896 1.46897
256 30.7074 39.0665 27.2217 0.984477 0.996098 1.18045
320 31.5657 39.2693 24.405 0.986453 0.996073 0.975156
384 32.2659 39.4008 22.1129 0.987953 0.996107 0.825322
448 32.8604 39.4737 20.1253 0.98906 0.996068 0.708556
512 33.3816 39.5159 18.3763 0.989747 0.996107 0.642622
576 33.8314 39.5448 16.888 0.990427 0.996165 0.579262
640 34.2331 39.5734 15.5998 0.991055 0.996181 0.517178
704 34.6026 39.6007 14.4444 0.991504 0.996169 0.470483
768 34.9465 39.6262 13.3912 0.992005 0.996206 0.423515
832 35.2611 39.6371 12.4101 0.992402 0.996169 0.379527
896 35.5549 39.6511 11.5207 0.992776 0.996225 0.347412
960 35.8284 39.6607 10.6964 0.992997 0.996247 0.327349
1024 36.0893 39.6721 9.92761 0.993276 0.996206 0.295055
