64 29.0477 34.6985 19.4535 0.976123 0.994843 1.91777
128 31.4202 35.4441 12.807 0.984909 0.99424 0.94738
192 32.8203 35.6869 8.73409 0.988059 0.994437 0.645494
256 33.8314 35.809 5.84538 0.989792 0.994373 0.462782
320 34.6076 35.8739 3.65896 0.9908 0.994269 0.350106
384 35.2451 35.9337 1.95363 0.991541 0.994092 0.257313
448 35.7689 35.9754 0.577378 0.992213 0.994016 0.181687
512 36.2353 36.0003 -0.648594 0.992334 0.994126 0.180554
576 36.653 36.0227 -1.71959 0.992886 0.994083 0.120521
640 37.0344 36.0464 -2.66778 0.993179 0.994172 0.0999689
704 37.349 36.0601 -3.4509 0.993593 0.993995 0.0404835
768 37.6508 36.0744 -4.18677 0.993703 0.993893 0.0190854
832 37.9279 36.0859 -4.8565 0.993916 0.99391 -0.000619888
896 38.187 36.0932 -5.48298 0.994208 0.993862 -0.0347972
960 38.4112 36.1012 -6.01393 0.994614 0.993878 -0.0740469
1024 38.6238 36.1092 -6.51045 0.994635 0.993968 -0.0670671
