64 29.0477 34.2632 17.9551 0.976123 0.99285 1.71357
128 31.4202 35.7741 13.8573 0.984909 0.993996 0.92268
192 32.8203 36.4027 10.9151 0.988059 0.994103 0.611699
256 33.8314 36.7856 8.73201 0.989792 0.994612 0.486934
320 34.6076 37.0269 6.99078 0.9908 0.994368 0.360131
384 35.2451 37.2215 5.60751 0.991541 0.994245 0.272727
448 35.7689 37.3611 4.45137 0.992213 0.994328 0.213134
512 36.2353 37.4766 3.42575 0.992334 0.99419 0.186992
576 36.653 37.5668 2.49318 0.992886 0.994293 0.141692
640 37.0344 37.6503 1.66305 0.993179 0.994622 0.145233
704 37.349 37.7166 0.984383 0.993593 0.994474 0.0886083
768 37.6508 37.7748 0.329423 0.993703 0.994375 0.0676036
832 37.9279 37.8199 -0.284624 0.993916 0.994279 0.0365257
896 38.187 37.8633 -0.847489 0.994208 0.994208 -1.78814e-05
960 38.4112 37.8978 -1.33656 0.994614 0.994236 -0.0380337
1024 38.6238 37.9357 -1.7815 0.994635 0.994291 -0.0345647
