64 23.8543 30.5061 27.8855 0.910205 0.972584 6.8532
128 26.0373 31.7131 21.7983 0.938715 0.975066 3.87244
192 27.3335 32.1749 17.712 0.950755 0.976121 2.668
256 28.3022 32.4314 14.5895 0.957898 0.976629 1.95541
320 29.0635 32.5999 12.1678 0.962395 0.977031 1.52081
384 29.6858 32.7237 10.2335 0.965714 0.977394 1.20938
448 30.2207 32.8306 8.63631 0.968241 0.977508 0.957072
512 30.7038 32.9156 7.20369 0.970381 0.97781 0.765598
576 31.1328 32.9786 5.92892 0.971861 0.977928 0.624347
640 31.5133 33.0277 4.80572 0.973282 0.978173 0.502503
704 31.8663 33.071 3.78046 0.974403 0.978189 0.388491
768 32.1808 33.1049 2.87157 0.975358 0.978288 0.300479
832 32.4643 33.1347 2.06499 0.976118 0.978412 0.234973
896 32.7302 33.1599 1.31299 0.976845 0.978508 0.170207
960 32.9865 33.1807 0.588787 0.977492 0.978513 0.104427
1024 33.2251 33.1975 -0.0830889 0.978015 0.97859 0.0587702
