64 23.8543 30.3904 27.4004 0.910205 0.972194 6.81043
128 26.0373 31.7681 22.0096 0.938715 0.975535 3.92244
192 27.3335 32.3472 18.3426 0.950755 0.976858 2.74552
256 28.3022 32.6883 15.4974 0.957898 0.977803 2.07793
320 29.0635 32.922 13.2759 0.962395 0.978092 1.63112
384 29.6858 33.0946 11.483 0.965714 0.978445 1.31825
448 30.2207 33.2413 9.99545 0.968241 0.978671 1.07716
512 30.7038 33.3599 8.65051 0.970381 0.978946 0.882626
576 31.1328 33.4506 7.44499 0.971861 0.979253 0.760639
640 31.5133 33.5233 6.37846 0.973282 0.979434 0.632071
704 31.8663 33.5869 5.39926 0.974403 0.979477 0.520718
768 32.1808 33.6387 4.53033 0.975358 0.979659 0.441015
832 32.4643 33.6823 3.75172 0.976118 0.979743 0.371337
896 32.7302 33.7206 3.02596 0.976845 0.979851 0.307679
960 32.9865 33.7533 2.32457 0.977492 0.979894 0.245714
1024 33.2251 33.7812 1.67397 0.978015 0.980065 0.209606
