1 -10.4055 dB
2 -3.02022 dB
3 0.676731 dB
4 2.96228 dB
5 4.49119 dB
6 5.5458 dB
7 6.31959 dB
8 6.89163 dB
9 7.32545 dB
10 7.65844 dB
11 7.91465 dB
12 8.11834 dB
13 8.28937 dB
14 8.42848 dB
15 8.54254 dB
16 8.63288 dB
17 8.7032 dB
18 8.75988 dB
19 8.80566 dB
20 8.8412 dB
21 8.8676 dB
22 8.88772 dB
23 8.901 dB
24 8.91012 dB
25 8.9142 dB
26 8.91407 dB
27 8.91008 dB
28 8.90431 dB
29 8.89547 dB
30 8.88305 dB
31 8.86699 dB
32 8.84909 dB
33 8.82826 dB
34 8.80509 dB
35 8.77856 dB
36 8.7507 dB
37 8.7203 dB
38 8.6881 dB
39 8.65197 dB
40 8.61449 dB
41 8.57592 dB
42 8.53538 dB
43 8.49395 dB
44 8.45106 dB
45 8.40679 dB
46 8.36216 dB
47 8.3158 dB
48 8.26861 dB
49 8.22017 dB
50 8.17102 dB
51 8.12144 dB
52 8.07022 dB
53 8.01928 dB
54 7.96726 dB
55 7.91487 dB
56 7.86176 dB
57 7.80863 dB
58 7.755 dB
59 7.70086 dB
60 7.64666 dB
61 7.59221 dB
62 7.53772 dB
63 7.48299 dB
64 7.42847 dB
65 7.3737 dB
66 7.31905 dB
67 7.26431 dB
68 7.20985 dB
69 7.15562 dB
70 7.1009 dB
71 7.04698 dB
72 6.9931 dB
73 6.93916 dB
74 6.88587 dB
75 6.83302 dB
76 6.7804 dB
77 6.72831 dB
78 6.67648 dB
79 6.62528 dB
80 6.5745 dB
81 6.52418 dB
82 6.47413 dB
83 6.42463 dB
84 6.37572 dB
85 6.32746 dB
86 6.27937 dB
87 6.23189 dB
88 6.18493 dB
89 6.13879 dB
90 6.09273 dB
91 6.04734 dB
92 6.00263 dB
93 5.95823 dB
94 5.91448 dB
95 5.87128 dB
96 5.82834 dB
97 5.78612 dB
98 5.74447 dB
99 5.70319 dB
100 5.6626 dB
